Año_22,Año_23,Año_24,Año_25,Año_26
171119400.0,233623842.0,216873373.0,223251244.0,394032934.0
1975884908.0,1724429614.0,2564633936.0,2816916513.0,2580637943.0
893571437.2,696444369.0,696353451.0,684577471.0,557882497.0
3301630198.0,3543592480.0,3899277013.318182,3487391517.0,2659086149.0
278552357.86255944,228739225.68708456,435630867.487507,456737461.93124056,457466509.9541545
2618647526.95,2273626716.714286,2576404201.5,2103185936.3043475,2318316364.125
1560737907.9601855,1188202793.744861,1314763940.8550322,1009927954.2866786,1225678017.530216
5180110321.0,4243624187.0,4097137941.0,4894268877.0,3592890618.0
138491977.62054503,117990721.76762575,138029520.35988888,146482765.82509986,198351667.0
36858979195.0,30243420841.095238,31516448516.31818,31244382197.695652,34680953538.458336
25855695.0,76631475.52380502,44283637.25369059,84404904.31862856,111496779.66029662
754264174.3,769915602.0952381,862689281.8636364,773681538.2369254,714013332.6666666
16921772512.337105,17268614233.181343,13158878750.954544,9967697985.0,9948401505.0
463032614.383048,468999990.39987564,489460096.35155344,450229789.05267674,476266576.50378877
1044142000.2273005,2435904402.714286,2508146862.181818,1957289509.0,2159375774.6666665
2008280057.0,1941054985.0,1971161991.0,1844766576.0,2168765383.875
338031100.25467765,299375150.4342733,382525549.56288886,328356088.00554603,269830072.1279156
4256865321.0,3994064628.0,3850829348.0,3752299293.0,3740333815.0
13683676493.438478,9808345009.182735,9668038336.771008,9882827685.49626,9915176137.55408
4037319220.252987,3126252256.0,3856110266.8636365,3847530722.4347825,3057513733.0
1992438706.3124955,1494257260.0,1557119487.0,1459288194.0,1488617841.0
31233789143.45,31191969361.04762,29720725832.136364,29616672480.95652,30661439319.958332
516519875.4,416446794.0,492061034.27272725,449091903.0,505975820.75
1468918666.0,1699366931.0,2381745462.126381,5100625388.0,3633681257.842525
7.039003822782282e-26,8470987.396206588,-1.6729570830540429e-59,3.7625554950335897e-75,7552812.901462965
6843627064.0,6002985458.0,6030689263.0,5403085287.0,5148992542.0
8635280334.0,7948380691.0,8069029486.0,8580045156.0,7717033367.0
5157819895.86824,7032424878.608171,5415628789.0,4577084433.0,3422791674.0
704057241.0,541050882.0,752048565.0,836157691.0,941690329.0
3013093380.0,2921227275.0,2580130010.0,2850778633.0,2737738780.0
441686154.4803785,503802490.9069518,490258924.409091,481047703.3043478,285707456.0
3063312733.55,3093176499.2380953,2987918413.7272725,3335201812.347826,2515357964.0
273587872.0,229847760.0,453329257.0,394703173.5559634,433132752.06290466
695102240.4901946,635148516.3938212,543352680.0785556,400141661.58313686,747296096.1414535
782181446.0,747206085.0,785668289.0,849764985.0,1010562864.0
326956296.45,350742698.95238096,664939607.7272727,571762348.9430926,427469301.7565873
768448332.0,657426969.0,564875852.0,549397384.0,895408063.0
193222740.13919973,186714183.19047618,211223102.23449546,199572303.95652175,224578364.20833334
306914796.0,431899398.0,354394603.0,359172167.0,325434415.0
1027007632.0,979601084.0,1483145864.0,1644522985.0,2160829872.9166665
4406168535.0,4743407104.0,6865454035.0,7931775231.869565,6665215963.0
1216603647.0,1641302367.0,2184385997.0,974563499.9999998,1081901824.0
3513565826.6412115,2386209266.0,2434616055.0,2246773748.0,2753507083.0
780690832.0,661150013.0,723410052.0,605438711.0,899390181.0
3160948910.6,2945042792.952381,2930109168.8636365,2638146844.0,2349517822.0
4924822031.0,5237720171.915314,9245870201.0,6963543428.933245,4697877193.870575
23962695899.6,23314889992.0,20828341157.045456,20171079447.04348,20786973303.291668
4480393453.905927,3535005146.095238,4939871581.676902,8890352182.838236,7787341783.687437
1390365841.2945995,1441154482.3255687,1690305963.7046323,2097259099.880588,2087087436.0040462
23371159.02948064,42608768.0,35917010.32773829,69265900.77468158,120219429.29166667
195417148.0,119948874.0,245909092.0,325451266.0,211958005.0
125289353.0,131638488.0,155294871.0,157767562.0,147736252.0
321645343.72997046,351559725.27988696,379383087.93318236,389095092.45097864,346254720.59377366
7661149.0,10499596.0,14528110.181818182,36692885.95652174,30096340.871660348
12805496872.0,13436510110.0,17648301954.0,14956262351.0,9814434810.0
229782889.6122986,221851893.60257578,299208417.77248186,237250533.6784146,214036292.03146598
938567243.8766799,654698754.0,747281224.0,838326990.5652174,628933750.0
755017816.1275009,708777820.7203771,907179402.0,754777061.4517823,614917064.042761
9272995031.8,7339591694.0,9092307905.791018,9232331517.778835,6905542653.0
174368548.0,171448785.0,244217028.0,293339671.0,231538779.0
95248869.85361254,95078764.72464891,98694818.78451474,92496987.66588229,79815315.91713364
2968251167.0,2877591016.0,3389826052.0,3476877831.0,2714028803.0
129932991.0,120054353.0,128895090.0,204416496.0,153011385.4080004
18243558.809523806,17730614.272727273,18736194.304347828,28568294.949206647,110949025.0
1396806294.656874,952647126.6728958,1362107380.7032545,1333148411.0201416,969263998.7751653
94945697.1660679,118419907.96623576,130138664.25976294,77084273.13866973,100263930.05510224
1348949265.8054998,1218820453.5271156,1085770451.4878836,974700749.895528,800859040.0791769
444070637.26839995,442937666.59798,458660063.0812402,475323626.9453038,480742834.4607628
96928619.38095236,96231863.68181817,95023050.95652175,94478524.29166669,93643106.4
238911280.0,219823617.0,268818598.0,243805965.0,204861406.0
600034388.6685435,438474491.1672194,635799964.7580323,678280543.3287574,666239277.7242565
129509652.0,114541425.0,132887156.0,208467826.95652175,159210369.30828163
436681.25884832814,4079701.1850785,3339935.9361379487,2175426.1210099864,2050622.074502362
101040821.69104983,98344948.04106686,126073546.40751965,133212921.31360377,124888188.18446621
1172753561.9280682,1252849850.5761292,1455474542.4191194,1315474669.7674332,1025936726.3056134
786972915.7643932,667566306.9396346,743781886.8247063,740902153.1741116,680558409.7150735
1041712885.0,792891470.0,836181893.0,535606242.99999994,384657597.8908191
1476586489.0,1422884216.0,1629849732.0,1430668530.0,847877453.0
220098710.0,205619504.0,226342278.0,158346078.0,111891464.0
733207050.7579107,260224973.6922605,370071934.0,232459602.0,10609801.550362447
733899410.0,763649039.0,836652947.0,963732763.0,788811578.0
