Año_22,Año_23,Año_24,Año_25,Año_26
17105578.820731293,42710564.014525674,28657485.360145308,50687557.81161382,117616073.4675887
173973688.33554205,104849095.82612179,250974894.5267601,240599380.76176995,235243423.9014773
134920390.83379537,124082114.18457669,185102616.47355565,175385331.5497229,163688490.72948843
501500496.7190587,192968504.67893526,652199085.5883591,762717613.6151063,293276460.099254
6566717.653724177,9825589.456943398,13966383.986821642,53959721.91086503,50201860.71050207
13080812194.123165,11996590500.322575,23179527298.988796,14454893140.110521,14768087906.041122
211469699.8501039,205779160.0703098,399094570.6941634,286935260.047192,194298463.21368372
871804295.7187142,676538415.485728,643951116.6062875,790839825.3529725,750793802.6852437
845970107.8407615,631516375.4020907,1017957765.9923832,891570871.82895,689773881.5107448
9506460183.41728,6404552314.300138,8716830206.7988,6767439500.676267,7833352878.812888
134907092.76793966,200854161.26081192,295860686.26338774,205793541.98316735,199103511.729238
101945343.612133,85803587.27581201,98429623.45267457,86510163.22938646,84210498.85071033
2799923909.240937,2812301878.8954673,3526718272.2485695,3619131264.0981517,3003496005.2469225
123032415.11750929,133100701.99025686,124260426.08564126,200275755.19010937,158815229.14496076
32589389.396738347,16295739.495951613,40817442.974905156,19994313.54391358,56266397.807392225
1423885383.9206655,625771990.2657181,1385822707.8353431,1259490058.4942513,1033011117.4714075
78608279.67999077,140472193.01815245,138791573.18017855,113661473.43586591,83224815.40046458
1452255713.7587037,992608936.9560202,1200987294.028047,989048416.3748566,941742778.8177971
289660559.5817388,449897101.709871,410049913.5174572,643919441.7181026,528733492.07899815
47254134.13502419,76489284.789812,60975897.919072784,98242449.89778073,127359789.28236438
291837261.847526,243357385.07072407,291081231.9871379,172956761.7233131,226807507.11254668
592105334.4778754,411584105.13451445,738388512.9087237,619327226.4033487,664481206.8590175
131923000.15735434,106128723.43199016,119215582.64422745,199660858.47003505,152824171.6397708
-1931216.4999439134,9242516.31523706,570016.8524531708,3170539.203956779,6056750.582636341
87871520.00586493,95446423.49106298,161194632.02551502,147950389.4489079,145460335.0541653
1184208327.5325801,984784633.1252787,1561825007.175974,1474728302.4946694,918943010.1514734
688131672.9394213,547414304.2646585,784283413.7618177,871330838.5149705,996678910.637532
869216761.4530275,805772805.3796878,975385490.675451,529642224.0306141,409655060.936172
1303462705.6944828,1618548306.719981,1711341132.66034,1424575778.2963307,737454034.9451472
169848191.05301732,216312163.49813014,248521752.08050418,161237671.37786514,147536343.09599036
844590163.4916313,295545311.38950056,546662635.1301218,280524058.5852771,-144940907.61720738
1115092767.0381002,479049638.6236795,534344220.7288263,1035166920.4931273,799928601.3188756
241972297.26712042,186823056.15939873,90026107.98666793,39204334.33987579,9662520.687397636
17003723.481446426,12936680.107359355,14918369.263257846,11692650.028567838,12652680.648942245
51338979.27857658,56437534.202274814,42376549.59994572,46219764.61953979,30010964.340703074
60860456.83055986,75412772.04045849,121267269.09503517,113305722.32188773,73173561.77350372
94048156.87245023,68216822.28066526,165032211.45955634,133645899.07955754,142017228.9708171
101968573.86802529,65303759.89485833,97117697.95753457,130219666.66341583,107722086.8692996
27952564.970713787,39698290.20882217,33625506.09521238,46851739.13463637,43504485.20619023
820979765.9572082,459143209.63006836,382729386.8783476,309541995.01556426,103468733.81317067
90861149.25354907,198776544.10697663,10152438.97938943,190305145.62023443,172853773.7283304
258193.40210520884,169993.2991068578,406517.0931580763,609833.5241645547,391205.38246001664
140542559.24275064,143297575.2350765,141206628.44727892,66935510.79741197,155386576.7460949
195132305.0312977,265194628.39580902,261514559.11177203,196165382.1870742,194834546.9240212
625951606.0892615,1125421993.4602876,1141428705.5905728,1178962061.797368,763931790.8768227
43186192.82600093,254181725.16334742,183364647.4321708,102169732.91540694,185255277.4282786
9165484991.80683,7269912946.167942,9284576413.308058,10485932551.839869,8273893751.6304655
244344490.90049705,455952874.92385477,433889293.8684071,649718030.051101,612419758.3751996
168095964.93191904,160618263.33621728,184878843.69203296,185734470.04700983,134343642.03943747
985126484.324017,591600343.0987006,1738505292.1742897,1051423867.574635,1300309196.8318148
779854829.1185722,490102788.2689678,587176264.6816375,672985763.1066048,504178282.8742631
863053306.7631598,1166841666.5751235,1227684610.1757243,1379974507.4561682,1813567043.9076555
1017301223.9273918,1301887972.248256,1244470077.5886412,1558617609.2817426,1300561516.0157642
801007166.2492967,463067235.50949544,730989877.6961901,535889115.777789,579479489.8921673
491379992.9879755,307065624.21390617,389675911.7515055,620462331.5506423,466489847.6548555
1665226688.2443044,1230363078.5899973,1434343899.7170756,1728535450.3169801,1682249911.1584232
2704914493.9460464,2484265378.874172,2291572418.2156534,2994673887.9031634,2579034328.4845777
740856176.2890326,119983482.11466077,-136818233.72566277,387707831.32270926,351480440.8029907
40264178459.18336,34441456282.46065,43315414274.12267,48415178558.199646,47060732404.967384
52817685.93307028,51508878.49944559,62892741.64095239,63712370.47550785,79575417.51148015
714866051.6243229,428699860.30482197,460532672.1064128,480558855.6929544,526671633.9622214
9466383167.387648,10049235697.019224,11092502574.913877,12978094856.340893,11080745527.57824
776310067.2244201,846187144.507976,1176547276.3315282,861983691.9550624,837378805.6553735
15354265.258731263,9550759.472222038,43527332.619163066,42299582.31608138,34722624.06567479
2713867357.3981256,1751394491.1433487,2230796042.948267,1706900800.289843,1623017368.8433952
526142458.1587555,436788868.80288255,564199865.4022665,752468785.3578382,743448740.6430023
2909410200.0165806,2228880083.346949,2208907967.8192415,3224767973.9585285,3191378077.9390073
6195185891.024526,4857228755.594283,6666625651.895163,5817456350.11473,5606969377.042807
942310537.0313084,766074116.7693075,544294982.3499535,956482995.0903983,543931672.3646945
3717240174.751341,3010365307.554471,2279764702.7363033,2327925938.400989,2643125531.171409
3496227245.326791,2811863524.0969577,3935860352.906687,3776393060.9540296,4070118471.3277893
1420929883.6044512,1751679568.6216903,882260515.767348,1029728222.6713041,935497496.9353629
57879066.92359479,65818813.73512867,47827887.26134433,12880719.64513874,18476009.160990693
578199930.44499,559241598.2028682,474687175.41381484,517136440.73982847,483234865.6848801
4094571020.908718,4042711475.626216,4506161154.229946,4922122673.762906,4685702469.38627
12929282091.20306,13236369182.947802,16188168320.957253,18228869893.887856,14877253448.122412
10776870468.5716,6441035688.1299305,3441473501.957243,18911095388.405376,19689088687.710484
1611370494.6836014,1660813646.9719985,1780242013.1300273,1784586062.353796,1601533188.362059
8941851311.360516,4443903003.37109,7589006452.398027,7708218216.843031,6033477695.881044
-1470658604.5167847,771903757.8802775,563688707.2979813,953960623.6030825,93867972.7503801
2294140966.539528,2466870793.7663064,2550031428.22632,3264226092.1206555,2896357485.844661
285375591.1144102,221831417.38145876,232152192.62493393,257762403.05396512,223285217.45127192
5654393025.60198,5597665773.546712,6324408097.821118,7053870236.809916,5397429895.930543
163918650.10311782,240146369.11835408,236670405.85007948,261360685.84924707,217150303.67278308
486857569.82157767,459454292.3160641,343528807.97261477,423121767.51008934,648060641.5749038
569284788.160934,661238216.0112501,729494790.2699022,616378298.7417283,827995901.445327
102860174.9728235,137241517.97720653,171322424.129028,228304456.45426774,140467487.93184865
72301584.7658887,149295255.62485853,128185544.43523394,127508306.95901033,127811031.7624135
163507520.22694218,335211070.61956346,-180644841.6206565,433913877.36496294,241020033.56104553
361599653.7520507,241161590.75188774,263915150.43665743,483185076.9476796,177432042.39537337
311625.907826858,329516.0091780075,269610.85036702384,229334.41382763057,203648.33273782342
8763902146.190207,6019713693.83082,5102779945.643061,8418223161.358356,5329323244.553893
1182002401.819973,1557258183.9661524,1822145091.1512938,2064706334.8393323,1523142067.4566994
9299805141.686243,10936559934.762,10818763833.22478,11159378498.404387,8919481727.425186
